DateKey,FullDateAlternateKey,DayNumberOfWeek,EnglishDayNameOfWeek,SpanishDayNameOfWeek,FrenchDayNameOfWeek,DayNumberOfMonth,DayNumberOfYear,WeekNumberOfYear,EnglishMonthName,SpanishMonthName,FrenchMonthName,MonthNumberOfYear,CalendarQuarter,CalendarYear,CalendarSemester,FiscalQuarter,FiscalYear,FiscalSemester
20100915,15-Sep-10,4,Wednesday,Miércoles,Mercredi,15,258,38,September,Septiembre,Septembre,9,3,2010,2,1,2011,1
20100916,16-Sep-10,5,Thursday,Jueves,Jeudi,16,259,38,September,Septiembre,Septembre,9,3,2010,2,1,2011,1
20100917,17-Sep-10,6,Friday,Viernes,Vendredi,17,260,38,September,Septiembre,Septembre,9,3,2010,2,1,2011,1
20100918,18-Sep-10,7,Saturday,Sábado,Samedi,18,261,38,September,Septiembre,Septembre,9,3,2010,2,1,2011,1
20100919,19-Sep-10,1,Sunday,Domingo,Dimanche,19,262,39,September,Septiembre,Septembre,9,3,2010,2,1,2011,1
20100920,20-Sep-10,2,Monday,Lunes,Lundi,20,263,39,September,Septiembre,Septembre,9,3,2010,2,1,2011,1
20100921,21-Sep-10,3,Tuesday,Martes,Mardi,21,264,39,September,Septiembre,Septembre,9,3,2010,2,1,2011,1
20100922,22-Sep-10,4,Wednesday,Miércoles,Mercredi,22,265,39,September,Septiembre,Septembre,9,3,2010,2,1,2011,1
20100923,23-Sep-10,5,Thursday,Jueves,Jeudi,23,266,39,September,Septiembre,Septembre,9,3,2010,2,1,2011,1
20100924,24-Sep-10,6,Friday,Viernes,Vendredi,24,267,39,September,Septiembre,Septembre,9,3,2010,2,1,2011,1
20100925,25-Sep-10,7,Saturday,Sábado,Samedi,25,268,39,September,Septiembre,Septembre,9,3,2010,2,1,2011,1
20100926,26-Sep-10,1,Sunday,Domingo,Dimanche,26,269,40,September,Septiembre,Septembre,9,3,2010,2,1,2011,1
20100927,27-Sep-10,2,Monday,Lunes,Lundi,27,270,40,September,Septiembre,Septembre,9,3,2010,2,1,2011,1
20100928,28-Sep-10,3,Tuesday,Martes,Mardi,28,271,40,September,Septiembre,Septembre,9,3,2010,2,1,2011,1
20100929,29-Sep-10,4,Wednesday,Miércoles,Mercredi,29,272,40,September,Septiembre,Septembre,9,3,2010,2,1,2011,1
20100930,30-Sep-10,5,Thursday,Jueves,Jeudi,30,273,40,September,Septiembre,Septembre,9,3,2010,2,1,2011,1
20101001,1-Oct-10,6,Friday,Viernes,Vendredi,1,274,40,October,Octubre,Octobre,10,4,2010,2,2,2011,1
20101002,2-Oct-10,7,Saturday,Sábado,Samedi,2,275,40,October,Octubre,Octobre,10,4,2010,2,2,2011,1
20101003,3-Oct-10,1,Sunday,Domingo,Dimanche,3,276,41,October,Octubre,Octobre,10,4,2010,2,2,2011,1
20101004,4-Oct-10,2,Monday,Lunes,Lundi,4,277,41,October,Octubre,Octobre,10,4,2010,2,2,2011,1
20101005,5-Oct-10,3,Tuesday,Martes,Mardi,5,278,41,October,Octubre,Octobre,10,4,2010,2,2,2011,1
20101006,6-Oct-10,4,Wednesday,Miércoles,Mercredi,6,279,41,October,Octubre,Octobre,10,4,2010,2,2,2011,1
20101007,7-Oct-10,5,Thursday,Jueves,Jeudi,7,280,41,October,Octubre,Octobre,10,4,2010,2,2,2011,1
20101008,8-Oct-10,6,Friday,Viernes,Vendredi,8,281,41,October,Octubre,Octobre,10,4,2010,2,2,2011,1
20101009,9-Oct-10,7,Saturday,Sábado,Samedi,9,282,41,October,Octubre,Octobre,10,4,2010,2,2,2011,1
20101010,10-Oct-10,1,Sunday,Domingo,Dimanche,10,283,42,October,Octubre,Octobre,10,4,2010,2,2,2011,1
20101011,11-Oct-10,2,Monday,Lunes,Lundi,11,284,42,October,Octubre,Octobre,10,4,2010,2,2,2011,1
20101012,12-Oct-10,3,Tuesday,Martes,Mardi,12,285,42,October,Octubre,Octobre,10,4,2010,2,2,2011,1
20101013,13-Oct-10,4,Wednesday,Miércoles,Mercredi,13,286,42,October,Octubre,Octobre,10,4,2010,2,2,2011,1
20101014,14-Oct-10,5,Thursday,Jueves,Jeudi,14,287,42,October,Octubre,Octobre,10,4,2010,2,2,2011,1
20101015,15-Oct-10,6,Friday,Viernes,Vendredi,15,288,42,October,Octubre,Octobre,10,4,2010,2,2,2011,1
20101016,16-Oct-10,7,Saturday,Sábado,Samedi,16,289,42,October,Octubre,Octobre,10,4,2010,2,2,2011,1
20101017,17-Oct-10,1,Sunday,Domingo,Dimanche,17,290,43,October,Octubre,Octobre,10,4,2010,2,2,2011,1
20101018,18-Oct-10,2,Monday,Lunes,Lundi,18,291,43,October,Octubre,Octobre,10,4,2010,2,2,2011,1
20101019,19-Oct-10,3,Tuesday,Martes,Mardi,19,292,43,October,Octubre,Octobre,10,4,2010,2,2,2011,1
20101020,20-Oct-10,4,Wednesday,Miércoles,Mercredi,20,293,43,October,Octubre,Octobre,10,4,2010,2,2,2011,1
20101021,21-Oct-10,5,Thursday,Jueves,Jeudi,21,294,43,October,Octubre,Octobre,10,4,2010,2,2,2011,1
20101022,22-Oct-10,6,Friday,Viernes,Vendredi,22,295,43,October,Octubre,Octobre,10,4,2010,2,2,2011,1
20101023,23-Oct-10,7,Saturday,Sábado,Samedi,23,296,43,October,Octubre,Octobre,10,4,2010,2,2,2011,1
20101024,24-Oct-10,1,Sunday,Domingo,Dimanche,24,297,44,October,Octubre,Octobre,10,4,2010,2,2,2011,1
20101025,25-Oct-10,2,Monday,Lunes,Lundi,25,298,44,October,Octubre,Octobre,10,4,2010,2,2,2011,1
20101026,26-Oct-10,3,Tuesday,Martes,Mardi,26,299,44,October,Octubre,Octobre,10,4,2010,2,2,2011,1
20101027,27-Oct-10,4,Wednesday,Miércoles,Mercredi,27,300,44,October,Octubre,Octobre,10,4,2010,2,2,2011,1
20101028,28-Oct-10,5,Thursday,Jueves,Jeudi,28,301,44,October,Octubre,Octobre,10,4,2010,2,2,2011,1
20101029,29-Oct-10,6,Friday,Viernes,Vendredi,29,302,44,October,Octubre,Octobre,10,4,2010,2,2,2011,1
20101030,30-Oct-10,7,Saturday,Sábado,Samedi,30,303,44,October,Octubre,Octobre,10,4,2010,2,2,2011,1
20101031,31-Oct-10,1,Sunday,Domingo,Dimanche,31,304,45,October,Octubre,Octobre,10,4,2010,2,2,2011,1
20101101,1-Nov-10,2,Monday,Lunes,Lundi,1,305,45,November,Noviembre,Novembre,11,4,2010,2,2,2011,1
20101102,2-Nov-10,3,Tuesday,Martes,Mardi,2,306,45,November,Noviembre,Novembre,11,4,2010,2,2,2011,1
20101103,3-Nov-10,4,Wednesday,Miércoles,Mercredi,3,307,45,November,Noviembre,Novembre,11,4,2010,2,2,2011,1
20101104,4-Nov-10,5,Thursday,Jueves,Jeudi,4,308,45,November,Noviembre,Novembre,11,4,2010,2,2,2011,1
20101105,5-Nov-10,6,Friday,Viernes,Vendredi,5,309,45,November,Noviembre,Novembre,11,4,2010,2,2,2011,1
20101106,6-Nov-10,7,Saturday,Sábado,Samedi,6,310,45,November,Noviembre,Novembre,11,4,2010,2,2,2011,1
20101107,7-Nov-10,1,Sunday,Domingo,Dimanche,7,311,46,November,Noviembre,Novembre,11,4,2010,2,2,2011,1
20101108,8-Nov-10,2,Monday,Lunes,Lundi,8,312,46,November,Noviembre,Novembre,11,4,2010,2,2,2011,1
20101109,9-Nov-10,3,Tuesday,Martes,Mardi,9,313,46,November,Noviembre,Novembre,11,4,2010,2,2,2011,1
20101110,10-Nov-10,4,Wednesday,Miércoles,Mercredi,10,314,46,November,Noviembre,Novembre,11,4,2010,2,2,2011,1
20101111,11-Nov-10,5,Thursday,Jueves,Jeudi,11,315,46,November,Noviembre,Novembre,11,4,2010,2,2,2011,1
20101112,12-Nov-10,6,Friday,Viernes,Vendredi,12,316,46,November,Noviembre,Novembre,11,4,2010,2,2,2011,1
20101113,13-Nov-10,7,Saturday,Sábado,Samedi,13,317,46,November,Noviembre,Novembre,11,4,2010,2,2,2011,1
20101114,14-Nov-10,1,Sunday,Domingo,Dimanche,14,318,47,November,Noviembre,Novembre,11,4,2010,2,2,2011,1
20101115,15-Nov-10,2,Monday,Lunes,Lundi,15,319,47,November,Noviembre,Novembre,11,4,2010,2,2,2011,1
20101116,16-Nov-10,3,Tuesday,Martes,Mardi,16,320,47,November,Noviembre,Novembre,11,4,2010,2,2,2011,1
20101117,17-Nov-10,4,Wednesday,Miércoles,Mercredi,17,321,47,November,Noviembre,Novembre,11,4,2010,2,2,2011,1
20101118,18-Nov-10,5,Thursday,Jueves,Jeudi,18,322,47,November,Noviembre,Novembre,11,4,2010,2,2,2011,1
20101119,19-Nov-10,6,Friday,Viernes,Vendredi,19,323,47,November,Noviembre,Novembre,11,4,2010,2,2,2011,1
20101120,20-Nov-10,7,Saturday,Sábado,Samedi,20,324,47,November,Noviembre,Novembre,11,4,2010,2,2,2011,1
20101121,21-Nov-10,1,Sunday,Domingo,Dimanche,21,325,48,November,Noviembre,Novembre,11,4,2010,2,2,2011,1
20101122,22-Nov-10,2,Monday,Lunes,Lundi,22,326,48,November,Noviembre,Novembre,11,4,2010,2,2,2011,1
20101123,23-Nov-10,3,Tuesday,Martes,Mardi,23,327,48,November,Noviembre,Novembre,11,4,2010,2,2,2011,1
20101124,24-Nov-10,4,Wednesday,Miércoles,Mercredi,24,328,48,November,Noviembre,Novembre,11,4,2010,2,2,2011,1
20101125,25-Nov-10,5,Thursday,Jueves,Jeudi,25,329,48,November,Noviembre,Novembre,11,4,2010,2,2,2011,1
20101126,26-Nov-10,6,Friday,Viernes,Vendredi,26,330,48,November,Noviembre,Novembre,11,4,2010,2,2,2011,1
20101127,27-Nov-10,7,Saturday,Sábado,Samedi,27,331,48,November,Noviembre,Novembre,11,4,2010,2,2,2011,1
20101128,28-Nov-10,1,Sunday,Domingo,Dimanche,28,332,49,November,Noviembre,Novembre,11,4,2010,2,2,2011,1
20101129,29-Nov-10,2,Monday,Lunes,Lundi,29,333,49,November,Noviembre,Novembre,11,4,2010,2,2,2011,1
20101130,30-Nov-10,3,Tuesday,Martes,Mardi,30,334,49,November,Noviembre,Novembre,11,4,2010,2,2,2011,1
20101201,1-Dec-10,4,Wednesday,Miércoles,Mercredi,1,335,49,December,Diciembre,Décembre,12,4,2010,2,2,2011,1
20101202,2-Dec-10,5,Thursday,Jueves,Jeudi,2,336,49,December,Diciembre,Décembre,12,4,2010,2,2,2011,1
20101203,3-Dec-10,6,Friday,Viernes,Vendredi,3,337,49,December,Diciembre,Décembre,12,4,2010,2,2,2011,1
20101204,4-Dec-10,7,Saturday,Sábado,Samedi,4,338,49,December,Diciembre,Décembre,12,4,2010,2,2,2011,1
20101205,5-Dec-10,1,Sunday,Domingo,Dimanche,5,339,50,December,Diciembre,Décembre,12,4,2010,2,2,2011,1
20101206,6-Dec-10,2,Monday,Lunes,Lundi,6,340,50,December,Diciembre,Décembre,12,4,2010,2,2,2011,1
20101207,7-Dec-10,3,Tuesday,Martes,Mardi,7,341,50,December,Diciembre,Décembre,12,4,2010,2,2,2011,1
20101208,8-Dec-10,4,Wednesday,Miércoles,Mercredi,8,342,50,December,Diciembre,Décembre,12,4,2010,2,2,2011,1
20101209,9-Dec-10,5,Thursday,Jueves,Jeudi,9,343,50,December,Diciembre,Décembre,12,4,2010,2,2,2011,1
20101210,10-Dec-10,6,Friday,Viernes,Vendredi,10,344,50,December,Diciembre,Décembre,12,4,2010,2,2,2011,1
20101211,11-Dec-10,7,Saturday,Sábado,Samedi,11,345,50,December,Diciembre,Décembre,12,4,2010,2,2,2011,1
20101212,12-Dec-10,1,Sunday,Domingo,Dimanche,12,346,51,December,Diciembre,Décembre,12,4,2010,2,2,2011,1
20101213,13-Dec-10,2,Monday,Lunes,Lundi,13,347,51,December,Diciembre,Décembre,12,4,2010,2,2,2011,1
20101214,14-Dec-10,3,Tuesday,Martes,Mardi,14,348,51,December,Diciembre,Décembre,12,4,2010,2,2,2011,1
20101215,15-Dec-10,4,Wednesday,Miércoles,Mercredi,15,349,51,December,Diciembre,Décembre,12,4,2010,2,2,2011,1
20101216,16-Dec-10,5,Thursday,Jueves,Jeudi,16,350,51,December,Diciembre,Décembre,12,4,2010,2,2,2011,1
20101217,17-Dec-10,6,Friday,Viernes,Vendredi,17,351,51,December,Diciembre,Décembre,12,4,2010,2,2,2011,1
20101218,18-Dec-10,7,Saturday,Sábado,Samedi,18,352,51,December,Diciembre,Décembre,12,4,2010,2,2,2011,1
20101219,19-Dec-10,1,Sunday,Domingo,Dimanche,19,353,52,December,Diciembre,Décembre,12,4,2010,2,2,2011,1
20101220,20-Dec-10,2,Monday,Lunes,Lundi,20,354,52,December,Diciembre,Décembre,12,4,2010,2,2,2011,1
20101221,21-Dec-10,3,Tuesday,Martes,Mardi,21,355,52,December,Diciembre,Décembre,12,4,2010,2,2,2011,1
20101222,22-Dec-10,4,Wednesday,Miércoles,Mercredi,22,356,52,December,Diciembre,Décembre,12,4,2010,2,2,2011,1
20101223,23-Dec-10,5,Thursday,Jueves,Jeudi,23,357,52,December,Diciembre,Décembre,12,4,2010,2,2,2011,1
20101224,24-Dec-10,6,Friday,Viernes,Vendredi,24,358,52,December,Diciembre,Décembre,12,4,2010,2,2,2011,1
20101225,25-Dec-10,7,Saturday,Sábado,Samedi,25,359,52,December,Diciembre,Décembre,12,4,2010,2,2,2011,1
20101226,26-Dec-10,1,Sunday,Domingo,Dimanche,26,360,53,December,Diciembre,Décembre,12,4,2010,2,2,2011,1
20101227,27-Dec-10,2,Monday,Lunes,Lundi,27,361,53,December,Diciembre,Décembre,12,4,2010,2,2,2011,1
20101228,28-Dec-10,3,Tuesday,Martes,Mardi,28,362,53,December,Diciembre,Décembre,12,4,2010,2,2,2011,1
20101229,29-Dec-10,4,Wednesday,Miércoles,Mercredi,29,363,53,December,Diciembre,Décembre,12,4,2010,2,2,2011,1
20101230,30-Dec-10,5,Thursday,Jueves,Jeudi,30,364,53,December,Diciembre,Décembre,12,4,2010,2,2,2011,1
20101231,31-Dec-10,6,Friday,Viernes,Vendredi,31,365,53,December,Diciembre,Décembre,12,4,2010,2,2,2011,1
20110701,1-Jul-11,6,Friday,Viernes,Vendredi,1,182,27,July,Julio,Juillet,7,3,2011,2,1,2011,1
20110702,2-Jul-11,7,Saturday,Sábado,Samedi,2,183,27,July,Julio,Juillet,7,3,2011,2,1,2011,1
20110703,3-Jul-11,1,Sunday,Domingo,Dimanche,3,184,28,July,Julio,Juillet,7,3,2011,2,1,2011,1
20110704,4-Jul-11,2,Monday,Lunes,Lundi,4,185,28,July,Julio,Juillet,7,3,2011,2,1,2011,1
20110705,5-Jul-11,3,Tuesday,Martes,Mardi,5,186,28,July,Julio,Juillet,7,3,2011,2,1,2011,1
20110706,6-Jul-11,4,Wednesday,Miércoles,Mercredi,6,187,28,July,Julio,Juillet,7,3,2011,2,1,2011,1
20110707,7-Jul-11,5,Thursday,Jueves,Jeudi,7,188,28,July,Julio,Juillet,7,3,2011,2,1,2011,1
20110708,8-Jul-11,6,Friday,Viernes,Vendredi,8,189,28,July,Julio,Juillet,7,3,2011,2,1,2011,1
20110709,9-Jul-11,7,Saturday,Sábado,Samedi,9,190,28,July,Julio,Juillet,7,3,2011,2,1,2011,1
20110710,10-Jul-11,1,Sunday,Domingo,Dimanche,10,191,29,July,Julio,Juillet,7,3,2011,2,1,2011,1
20110711,11-Jul-11,2,Monday,Lunes,Lundi,11,192,29,July,Julio,Juillet,7,3,2011,2,1,2011,1
20110712,12-Jul-11,3,Tuesday,Martes,Mardi,12,193,29,July,Julio,Juillet,7,3,2011,2,1,2011,1
20110713,13-Jul-11,4,Wednesday,Miércoles,Mercredi,13,194,29,July,Julio,Juillet,7,3,2011,2,1,2011,1
20110714,14-Jul-11,5,Thursday,Jueves,Jeudi,14,195,29,July,Julio,Juillet,7,3,2011,2,1,2011,1
20110715,15-Jul-11,6,Friday,Viernes,Vendredi,15,196,29,July,Julio,Juillet,7,3,2011,2,1,2011,1
20110716,16-Jul-11,7,Saturday,Sábado,Samedi,16,197,29,July,Julio,Juillet,7,3,2011,2,1,2011,1
20110717,17-Jul-11,1,Sunday,Domingo,Dimanche,17,198,30,July,Julio,Juillet,7,3,2011,2,1,2011,1
20110718,18-Jul-11,2,Monday,Lunes,Lundi,18,199,30,July,Julio,Juillet,7,3,2011,2,1,2011,1
20110719,19-Jul-11,3,Tuesday,Martes,Mardi,19,200,30,July,Julio,Juillet,7,3,2011,2,1,2011,1
20110720,20-Jul-11,4,Wednesday,Miércoles,Mercredi,20,201,30,July,Julio,Juillet,7,3,2011,2,1,2011,1
20110721,21-Jul-11,5,Thursday,Jueves,Jeudi,21,202,30,July,Julio,Juillet,7,3,2011,2,1,2011,1
20110722,22-Jul-11,6,Friday,Viernes,Vendredi,22,203,30,July,Julio,Juillet,7,3,2011,2,1,2011,1
20110723,23-Jul-11,7,Saturday,Sábado,Samedi,23,204,30,July,Julio,Juillet,7,3,2011,2,1,2011,1
20110724,24-Jul-11,1,Sunday,Domingo,Dimanche,24,205,31,July,Julio,Juillet,7,3,2011,2,1,2011,1
20110725,25-Jul-11,2,Monday,Lunes,Lundi,25,206,31,July,Julio,Juillet,7,3,2011,2,1,2011,1
20110726,26-Jul-11,3,Tuesday,Martes,Mardi,26,207,31,July,Julio,Juillet,7,3,2011,2,1,2011,1
20110727,27-Jul-11,4,Wednesday,Miércoles,Mercredi,27,208,31,July,Julio,Juillet,7,3,2011,2,1,2011,1
20110728,28-Jul-11,5,Thursday,Jueves,Jeudi,28,209,31,July,Julio,Juillet,7,3,2011,2,1,2011,1
20110729,29-Jul-11,6,Friday,Viernes,Vendredi,29,210,31,July,Julio,Juillet,7,3,2011,2,1,2011,1
20110730,30-Jul-11,7,Saturday,Sábado,Samedi,30,211,31,July,Julio,Juillet,7,3,2011,2,1,2011,1
